date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:32:59	78427/78427	---M--	200	added ('OK')	image/jpeg	etag:%221325b-5a7922bf39200%22	https://www.webbytron.com/assets/images/illustrations/UI/ads.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/images/illustrations/UI/ads.jpg	(from https://www.webbytron.com/)
03:32:59	121476/121476	---M--	200	added ('OK')	image/jpeg	etag:%221da84-5a7922c02d440%22	https://www.webbytron.com/assets/images/illustrations/UI/html5.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/images/illustrations/UI/html5.jpg	(from https://www.webbytron.com/)
03:32:59	104901/104901	---M--	200	added ('OK')	image/jpeg	etag:%22199c5-5a7922c02d440%22	https://www.webbytron.com/assets/images/illustrations/UI/qrcodescanner.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/images/illustrations/UI/qrcodescanner.jpg	(from https://www.webbytron.com/)
03:33:00	69989/69989	---M--	200	added ('OK')	image/jpeg	etag:%2211165-5a79248fa99c0%22	https://www.webbytron.com/assets/images/illustrations/UI/inapppurchases.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/images/illustrations/UI/inapppurchases.jpg	(from https://www.webbytron.com/)
03:33:00	79397/79397	---M--	200	added ('OK')	image/jpeg	etag:%2213625-5a7922bf39200%22	https://www.webbytron.com/assets/images/illustrations/UI/fallbackmode.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/images/illustrations/UI/fallbackmode.jpg	(from https://www.webbytron.com/)
03:33:01	84485/84485	---M--	200	added ('OK')	image/jpeg	etag:%2214a05-5a7922bf39200%22	https://www.webbytron.com/assets/images/illustrations/UI/darkmode.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/images/illustrations/UI/darkmode.jpg	(from https://www.webbytron.com/)
03:33:01	63656/63656	---M--	200	added ('OK')	image/jpeg	etag:%22f8a8-5a7922c02d440%22	https://www.webbytron.com/assets/images/illustrations/UI/updates.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/images/illustrations/UI/updates.jpg	(from https://www.webbytron.com/)
03:33:01	249/249	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jul%202021%2002:33:02%20GMT	https://www.webbytron.com/download/ios/	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/download/ios/index.html	(from https://www.webbytron.com/)
03:33:02	80356/80356	---M--	200	added ('OK')	image/jpeg	etag:%22139e4-5a7922c02d440%22	https://www.webbytron.com/assets/images/illustrations/UI/nativesharing.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/images/illustrations/UI/nativesharing.jpg	(from https://www.webbytron.com/)
03:33:02	77301/77301	---M--	200	added ('OK')	image/jpeg	etag:%2212df5-5941ddb6efe00%22	https://www.webbytron.com/assets/images/payment1.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/images/payment1.jpg	(from https://www.webbytron.com/)
03:33:02	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2029%20Jul%202021%2002:33:02%20GMT	https://www.webbytron.com/download/android/	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/download/android/index.html	(from https://www.webbytron.com/)
03:33:03	4809/4809	---M--	200	added ('OK')	image/png	etag:%2212c9-5a73df92ef0c0%22	https://www.webbytron.com/assets/images/illustrations/UI/androidlogo.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/images/illustrations/UI/androidlogo.png	(from https://www.webbytron.com/)
03:33:04	18035/18035	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jul%202021%2002:33:04%20GMT	https://www.webbytron.com/mac/	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/mac/index.html	(from https://www.webbytron.com/)
03:33:04	13490/13490	---M--	200	added ('OK')	image/png	etag:%2234b2-585f162a2c400%22	https://www.webbytron.com/example_icons/8.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/example_icons/8.png	(from https://www.webbytron.com/)
03:33:04	73687/73687	---M--	200	added ('OK')	image/jpeg	etag:%2211fd7-5941ddb9cc4c0%22	https://www.webbytron.com/assets/images/payment2.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/images/payment2.jpg	(from https://www.webbytron.com/)
03:33:06	19469/19469	---M--	200	added ('OK')	image/jpeg	etag:%224c0d-5a73f3fc1d880%22	https://www.webbytron.com/assets/images/iosgrey.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/images/iosgrey.jpg	(from https://www.webbytron.com/)
03:33:07	19212/19212	---M--	200	added ('OK')	image/jpeg	etag:%224b0c-5a73f51efc6c0%22	https://www.webbytron.com/assets/images/androidgrey.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/images/androidgrey.jpg	(from https://www.webbytron.com/)
03:33:09	11325/11325	---M--	200	added ('OK')	image/png	etag:%222c3d-59673c5d48d00%22	https://www.webbytron.com/example_icons/13.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/example_icons/13.png	(from https://www.webbytron.com/)
03:33:09	63807/63807	---M--	200	added ('OK')	image/png	etag:%22f93f-5912eec81b580%22	https://www.webbytron.com/example_icons/9.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/example_icons/9.png	(from https://www.webbytron.com/)
03:33:09	26952/26952	---M--	200	added ('OK')	image/png	etag:%226948-585f0db831740%22	https://www.webbytron.com/example_icons/3.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/example_icons/3.png	(from https://www.webbytron.com/)
03:33:10	10811/10811	---M--	200	added ('OK')	image/png	etag:%222a3b-585f134ccc1c0%22	https://www.webbytron.com/example_icons/4.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/example_icons/4.png	(from https://www.webbytron.com/)
03:33:11	21241/21241	---M--	200	added ('OK')	image/png	etag:%2252f9-5b851f06b9f40%22	https://www.webbytron.com/example_icons/5b.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/example_icons/5b.png	(from https://www.webbytron.com/)
03:33:12	22687/22687	---M--	200	added ('OK')	image/png	etag:%22589f-5a740d2be84c0%22	https://www.webbytron.com/example_icons/14.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/example_icons/14.png	(from https://www.webbytron.com/)
03:33:12	3700/3700	---M--	200	added ('OK')	image/png	etag:%22e74-585f173aec780%22	https://www.webbytron.com/example_icons/6.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/example_icons/6.png	(from https://www.webbytron.com/)
03:33:13	16965/16965	---M--	200	added ('OK')	image/png	etag:%224245-5912f1035b940%22	https://www.webbytron.com/example_icons/12.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/example_icons/12.png	(from https://www.webbytron.com/)
03:33:13	11028/11028	---M--	200	added ('OK')	image/png	etag:%222b14-585f1579be3c0%22	https://www.webbytron.com/example_icons/7.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/example_icons/7.png	(from https://www.webbytron.com/)
03:33:15	57315/57315	---M--	200	added ('OK')	image/png	etag:%22dfe3-5912f068dccc0%22	https://www.webbytron.com/example_icons/11.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/example_icons/11.png	(from https://www.webbytron.com/)
03:33:15	28546/28546	---M--	200	added ('OK')	image/png	etag:%226f82-5915664541400%22	https://www.webbytron.com/example_icons/10c.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/example_icons/10c.png	(from https://www.webbytron.com/)
03:33:16	6293/6293	---M--	200	added ('OK')	image/jpeg	etag:%221895-5ba5878f89a40%22	https://www.webbytron.com/assets/review_images/daniel.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/daniel.jpg	(from https://www.webbytron.com/)
03:33:17	7590/7590	---M--	200	added ('OK')	image/jpeg	etag:%221da6-5a003d943d280%22	https://www.webbytron.com/assets/review_images/raphaela.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/raphaela.jpg	(from https://www.webbytron.com/)
03:33:18	11099/11099	---M--	200	added ('OK')	image/jpeg	etag:%222b5b-5af925d107940%22	https://www.webbytron.com/assets/review_images/julian.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/julian.jpg	(from https://www.webbytron.com/)
03:33:19	8823/8823	---M--	200	added ('OK')	image/jpeg	etag:%222277-59f777d9e3c40%22	https://www.webbytron.com/assets/review_images/lucas.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/lucas.jpg	(from https://www.webbytron.com/)
03:33:20	7611/7611	---M--	200	added ('OK')	image/jpeg	etag:%221dbb-59f77ff609e80%22	https://www.webbytron.com/assets/review_images/anne_review.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/anne_review.jpg	(from https://www.webbytron.com/)
03:33:21	2905/2905	---M--	200	added ('OK')	image/jpeg	etag:%22b59-5ba585ca8ad80%22	https://www.webbytron.com/assets/review_images/antonio.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/antonio.jpg	(from https://www.webbytron.com/)
03:33:22	6811/6811	---M--	200	added ('OK')	image/jpeg	etag:%221a9b-59f77fb253ec0%22	https://www.webbytron.com/assets/review_images/nelis.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/nelis.jpg	(from https://www.webbytron.com/)
03:33:23	7843/7843	---M--	200	added ('OK')	image/jpeg	etag:%221ea3-59f77a1618240%22	https://www.webbytron.com/assets/review_images/taha.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/taha.jpg	(from https://www.webbytron.com/)
03:33:24	5924/5924	---M--	200	added ('OK')	image/jpeg	etag:%221724-5adeab853b780%22	https://www.webbytron.com/assets/review_images/shameem.jpg	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/shameem.jpg	(from https://www.webbytron.com/)
03:33:25	13245/13245	---M--	200	added ('OK')	image/png	etag:%2233bd-582aae172c680%22	https://www.webbytron.com/assets/review_images/envatotuts.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/envatotuts.png	(from https://www.webbytron.com/)
03:33:26	11756/11756	---M--	200	added ('OK')	image/png	etag:%222dec-5b13ba0a66700%22	https://www.webbytron.com/assets/review_images/hiboox.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/hiboox.png	(from https://www.webbytron.com/)
03:33:26	8823/8823	---M--	200	added ('OK')	image/png	etag:%222277-582aae172c680%22	https://www.webbytron.com/assets/review_images/producthunt.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/producthunt.png	(from https://www.webbytron.com/)
03:33:27	13302/13302	---M--	200	added ('OK')	image/png	etag:%2233f6-5a2de62591d00%22	https://www.webbytron.com/assets/review_images/3dv.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/3dv.png	(from https://www.webbytron.com/)
03:33:28	10983/10983	---M--	200	added ('OK')	image/png	etag:%222ae7-582aae172c680%22	https://www.webbytron.com/assets/review_images/websummit.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/websummit.png	(from https://www.webbytron.com/)
03:33:29	4613/4613	---M--	200	added ('OK')	image/png	etag:%221205-59379e745f200%22	https://www.webbytron.com/assets/review_images/webapp2app.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/webapp2app.png	(from https://www.webbytron.com/)
03:33:30	10914/10914	---M--	200	added ('OK')	image/png	etag:%222aa2-582aae172c680%22	https://www.webbytron.com/assets/review_images/ideenwerkbw.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/ideenwerkbw.png	(from https://www.webbytron.com/)
03:33:31	13807/13807	---M--	200	added ('OK')	image/png	etag:%2235ef-5b13bd3041440%22	https://www.webbytron.com/assets/review_images/ilounge.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/ilounge.png	(from https://www.webbytron.com/)
03:33:32	8617/8617	---M--	200	added ('OK')	image/png	etag:%2221a9-582aae172c680%22	https://www.webbytron.com/assets/review_images/startupbwsummit.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/startupbwsummit.png	(from https://www.webbytron.com/)
03:33:33	5569/5569	---M--	200	added ('OK')	image/png	etag:%2215c1-5b814462156c0%22	https://www.webbytron.com/assets/review_images/instamobile.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/instamobile.png	(from https://www.webbytron.com/)
03:33:34	12440/12440	---M--	200	added ('OK')	image/png	etag:%223098-5b81446309900%22	https://www.webbytron.com/assets/review_images/raondigital.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/raondigital.png	(from https://www.webbytron.com/)
03:33:34	7588/7588	---M--	200	added ('OK')	image/png	etag:%221da4-5b814462156c0%22	https://www.webbytron.com/assets/review_images/lgnitedigitalstrategy.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/lgnitedigitalstrategy.png	(from https://www.webbytron.com/)
03:33:35	3327/3327	---M--	200	added ('OK')	image/png	etag:%22cff-5a74284b9c300%22	https://www.webbytron.com/assets/review_images/theopennews.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/theopennews.png	(from https://www.webbytron.com/)
03:33:38	12668/12668	---M--	200	added ('OK')	image/png	etag:%22317c-5b13bb1661f40%22	https://www.webbytron.com/assets/review_images/rockonthemoney.png	C:/Users/Divine-Favour/Desktop/Div/WebView/Webview%20(GOLD)/www.webbytron.com/assets/review_images/rockonthemoney.png	(from https://www.webbytron.com/)
